DATAH	filename	date	time	DOY	daytime	file_records	used_records	Tau	qc_Tau	rand_err_Tau	H	qc_H	rand_err_H	LE	qc_LE	rand_err_LE	co2_flux	qc_co2_flux	rand_err_co2_flux	h2o_flux	qc_h2o_flux	rand_err_h2o_flux	ch4_flux	qc_ch4_flux	rand_err_ch4_flux	none_flux	qc_none_flux	rand_err_none_flux	H_strg	LE_strg	co2_strg	h2o_strg	ch4_strg	none_strg	co2_v-adv	h2o_v-adv	ch4_v-adv	none_v-adv	co2_molar_density	co2_mole_fraction	co2_mixing_ratio	co2_time_lag	co2_def_timelag	h2o_molar_density	h2o_mole_fraction	h2o_mixing_ratio	h2o_time_lag	h2o_def_timelag	ch4_molar_density	ch4_mole_fraction	ch4_mixing_ratio	ch4_time_lag	ch4_def_timelag	none_molar_density	none_mole_fraction	none_mixing_ratio	none_time_lag	none_def_timelag	sonic_temperature	air_temperature	air_pressure	air_density	air_heat_capacity	air_molar_volume	ET	water_vapor_density	e	es	specific_humidity	RH	VPD	Tdew	u_unrot	v_unrot	w_unrot	u_rot	v_rot	w_rot	wind_speed	max_wind_speed	wind_dir	yaw	pitch	roll	u*	TKE	L	(z-d)/L	bowen_ratio	T*	model	x_peak	x_offset	x_10%	x_30%	x_50%	x_70%	x_90%	un_Tau	Tau_scf	un_H	H_scf	un_LE	LE_scf	un_co2_flux	co2_scf	un_h2o_flux	h2o_scf	un_ch4_flux	ch4_scf	un_none_flux	un_none_scf	spikes_hf	amplitude_resolution_hf	drop_out_hf	absolute_limits_hf	skewness_kurtosis_hf	skewness_kurtosis_sf	discontinuities_hf	discontinuities_sf	timelag_hf	timelag_sf	attack_angle_hf	non_steady_wind_hf	u_spikes	v_spikes	w_spikes	ts_spikes	co2_spikes	h2o_spikes	ch4_spikes	none_spikes	head_detect_LI-7200	t_out_LI-7200	t_in_LI-7200	aux_in_LI-7200	delta_p_LI-7200	chopper_LI-7200	detector_LI-7200	pll_LI-7200	sync_LI-7200	chopper_LI-7500	detector_LI-7500	pll_LI-7500	sync_LI-7500	not_ready_LI-7700	no_signal_LI-7700	re_unlocked_LI-7700	bad_temp_LI-7700	laser_temp_unregulated_LI-7700	block_temp_unregulated_LI-7700	motor_spinning_LI-7700	pump_on_LI-7700	top_heater_on_LI-7700	bottom_heater_on_LI-7700	calibrating_LI-7700	motor_failure_LI-7700	bad_aux_tc1_LI-7700	bad_aux_tc2_LI-7700	bad_aux_tc3_LI-7700	box_connected_LI-7700	mean_value_RSSI_LI-7200	mean_value_LI-7500	u_var	v_var	w_var	ts_var	co2_var	h2o_var	ch4_var	none_var	w/ts_cov	w/co2_cov	w/h2o_cov	w/ch4_cov	w/none_cov	air_t_mean	vin_sf_mean	co2_mean	h2o_mean	dew_point_mean	co2_signal_strength_7500_mean	air_p_mean	rssi_77_mean	LOGGERTEMP_1_1_1	RH_1_1_1	LWIN_1_1_1	LWOUT_1_1_1	PPFD_1_1_1	RN_1_1_1	SNOWD_1_1_1	SWC_1_1_1	SWC_2_1_1	SWIN_1_1_1	SWOUT_1_1_1	TA_1_1_1	TS_1_1_1	TS_10_1_1	TS_11_1_1	TS_12_1_1	TS_2_1_1	TS_3_1_1	TS_4_1_1	TS_5_1_1	TS_6_1_1	TS_7_1_1	TS_8_1_1	TS_9_1_1	CHK
DATAU		[yyyy-mm-dd]	[HH:MM]	[ddd.ddd]	[1=daytime]	[#]	[#]	[kg+1m-1s-2]	[#]	[kg+1m-1s-2]	[W+1m-2]	[#]	[W+1m-2]	[W+1m-2]	[#]	[W+1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[#]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[W+1m-2]	[W+1m-2]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[mmol+1mol_a-1]	[mmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[K]	[K]	[Pa]	[kg+1m-3]	[J+1kg-1K-1]	[m+3mol-1]	[mm]	[kg+1m-3]	[Pa]	[Pa]	[kg+1kg-1]	[%]	[Pa]	[K]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[deg_from_north]	[°]	[°]	[°]	[m+1s-1]	[m+2s-2]	[m]	[#]	[#]	[K]	[0=KJ/1=KM/2=HS]	[m]	[m]	[m]	[m]	[m]	[m]	[m]	[kg+1m-1s-2]	[#]	[W+1m-2]	[#]	[W+1m-2]	[#]	[µmol+1s-1m-2]	[#]	[mmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[#]	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8co2/h2o/ch4/none	8co2/h2o/ch4/none	8aa	8U	[#]	[#]	[#]	[#]	[#]	[#]	[#]	[#]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#]	[#]	[m+2s-2]	[m+2s-2]	[m+2s-2]	[K+2]	--	--	--	--	[m+1s-1K+1]	--	--	--	--	--	--	--	--	--	--	--	--	[C]	[%]	[W/m^2]	[W/m^2]	[µmol/m^2/s]	[W/m^2]	[m]	[m^3/m^3]	[m^3/m^3]	[W/m^2]	[W/m^2]	[K]	[K]	[K]	[K]	[K]	[K]	[K]	[K]	[K]	[K]	[K]	[K]	[K]	221
DATA	2016-03-19T233000_AIU-0383.ghg	2016-03-20	00:00:00	80	0	18000	18000	0.004810440544656068	2	NaN	-0.3565440582220606	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-2.681854128246942e-14	NaN	NaN	NaN	NaN	NaN	NaN	0	9.673455569363407	0.22165480291051962	0.22170394465467652	NaN	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	253.65961760160664	254.4832066666667	92336.54998546006	1.2639668744298584	1005.1232815474967	0.022913714889280908	NaN	0.00017431567234662794	20.472329801578443	140.28299496887752	0.00013791158286901868	14.593593333333333	119.81066516729908	234.0012904909791	0.1786916377981146	-1.4893531593349683	0.025421241846307237	1.500249903908319	-2.5339953593601282e-14	-2.77238481018157e-15	1.500249903908319	2.873789426735805	83.15839242830987	276.84160757169013	0.9709046294595987	NaN	0.06169139338757471	0.1800552145824745	54.15330443058404	0.06370802366127729	NaN	-0.00454918500510768	1	78.36860318453573	34	72	147	273	584	2446	0.004760254401992016	1.0105427438170216	-0.3495326962668412	1.0200592449007024	NaN	1	NaN	1	NaN	1	NaN	1	NaN	NaN	800009909	800009919	800009909	800009919	800009909	800009909	899999999	899999999	89999	89999	89	89	0	0	0	10	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	0	0	0	0	0	17406	17406	0	0	18000	18000	18000	18000	NaN	6	0.26569388706565145	0.08607756545979794	0.008338976639499597	0.011740069235485954	NaN	NaN	NaN	NaN	-0.00027512672734050206	NaN	NaN	NaN	NaN	253.90951462385385	14.795012854364185	140153.50064113125	512.690344169294	71.34346881841296	0.0027324861324482448	46412.19906705738	0.054005633775144814	-13.629999999999999	83.99261	225.45973333333333	234.09133333333332	-0.10761073333333333	-10.316403666666668	NaN	0.024755556666666668	0.049925	-4.682051333333333	-2.997156	254.4832066666667	266.8565636666667	267.8447223333334	228.53884333333335	228.79172000000003	267.4076653333334	268.5253303333334	269.2184823333333	266.98496933333337	267.6323216666667	268.4033253333334	269.38040900000004	268.33055533333334	000
DATA	2016-03-20T000000_AIU-0383.ghg	2016-03-20	00:30:00	80.02	0	18000	18000	0.0036294525277944345	1	NaN	0.05673539596276211	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.484756369242942e-15	NaN	NaN	NaN	NaN	NaN	NaN	0	9.365953951804295	0.2142893066594283	0.214335236408631	NaN	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	253.33902714708114	254.08683000000002	92330.18244032118	1.2658548952568351	1005.1183683397285	0.022879602842607052	NaN	0.000168774493103271	19.790677995141017	135.6168057327215	0.00013332846737463346	14.593086666666666	115.82612773758049	233.6748041860936	-0.26700504735234415	-1.1622435948600347	-0.006733064842068077	1.1925381349319493	-1.1230541330402933e-14	7.991451172788489e-16	1.1925381349319493	1.765524991469385	102.93820337150197	257.06179662849803	-0.32349342712756984	NaN	0.053546192806799155	0.0516748879544736	-222.52244940693572	-0.015504053677257736	NaN	0.0008327686309054901	1	79.2477713330716	34	67	125	211	393	1217	0.003581046815634607	1.0135171961306095	0.055798892885312874	1.0167835422716018	NaN	1	NaN	1	NaN	1	NaN	1	NaN	NaN	800009909	800009919	800009909	800009919	800009909	800109909	899999999	899999999	89999	89999	89	89	0	4	1	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	0	0	0	0	0	17995	17995	0	0	18000	18000	18000	18000	NaN	6	0.03613972458196446	0.0658010754375854	0.0014089758893973442	0.012202626755783234	NaN	NaN	NaN	NaN	0.000043855538391482234	NaN	NaN	NaN	NaN	253.34490176052512	14.79160669708252	130988.07240952618	487.41165472916765	70.02947286402677	0.0021689603442339544	46664.514352095925	0.053986286367289714	-13.97	83.82559666666667	211.13433333333333	223.6715	-0.13609585666666665	-14.499313333333335	NaN	0.024922216666666667	0.04973334	-5.3031353333333335	-3.341052	254.08683000000002	266.861602	267.8430553333334	228.5363166666667	228.79070333333337	267.40953900000005	268.5233503333334	269.2164333333333	266.986828	267.63118966666667	268.400099	269.37792	268.3394446666667	013
DATA	2016-03-20T003000_AIU-0383.ghg	2016-03-20	01:00:00	80.041	0	18000	18000	0.002371407902145732	2	NaN	-0.18528987668964564	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-6.999831047660391e-15	NaN	NaN	NaN	NaN	NaN	NaN	0	9.145737207784158	0.20897206912037478	0.20901574757362398	NaN	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	253.30775057390002	253.79607000000004	92347.55220811632	1.2675460771973153	1005.1148695839712	0.02284912242421678	NaN	0.00016480618730803573	19.30323556318884	132.28295284084624	0.0001300198787821903	14.592383333333334	112.9797172776574	233.4350404413178	-0.5993469464495786	-1.1051142681075052	-0.011927266879448443	1.2572336964497288	2.1788520689434078e-14	-7.653654252937275e-16	1.2572336964497288	2.1206958858632476	118.47271878360658	241.52728121639342	-0.5435682376057996	NaN	0.043253499799510625	0.14112525250684152	35.91797878463339	0.09605217544913737	NaN	-0.00336241245115268	1	97.13740012404095	42	91	189	360	799	3608	0.0023453661252770637	1.0111035017467016	-0.18151870415159038	1.0207756691283223	NaN	1	NaN	1	NaN	1	NaN	1	NaN	NaN	800009909	800009919	800009909	800009919	800009909	801109909	899999999	899999999	89999	89999	89	89	0	2	3	9	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	0	0	0	0	0	18000	18000	0	0	18000	18000	18000	18000	NaN	6	0.19804081077840163	0.0824959346768795	0.0017137595584019055	0.014618018147592032	NaN	NaN	NaN	NaN	-0.00014247607058071602	NaN	NaN	NaN	NaN	253.09687878460358	14.793687792248196	63779.34376213301	441.7044417591093	65.84032285498637	0.001358496027804528	46659.603994791665	0.05418703652100846	-14.616666666666667	83.74297666666666	207.87076666666667	219.11283333333333	-0.11267478666666667	-13.051079666666666	NaN	0.024755556666666668	0.049852773333333336	-5.372528333333333	-3.5634466666666667	253.79607000000004	266.866256	267.83861133333335	228.5307466666667	228.78114333333335	267.411644	268.521628	269.21453333333335	266.9891406666667	267.63037333333335	268.397414	269.3753986666667	268.33305466666667	089
DATA	2016-03-20T010000_AIU-0383.ghg	2016-03-20	01:30:00	80.062	0	18000	18000	0.0161167200359991	1	NaN	-5.494678702449447	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.1863738722122749e-14	NaN	NaN	NaN	NaN	NaN	NaN	0	9.343831233216054	0.21369860939345758	0.21374428625019504	NaN	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	253.51215052541093	254.05765333333335	92356.10143945312	1.2663559448858894	1005.1179847028156	0.022870555349264868	NaN	0.00016837584170748045	19.74166451905789	135.27889853881337	0.000132960912283357	14.593306666666667	115.53723401975547	233.6509384042809	-0.7445172307690434	-1.7336317840830706	-0.0058618278338518235	1.8867483750411582	2.1587664978662535e-15	-1.2696867511849706e-15	1.8867483750411582	3.0576347774057018	113.24135711548712	246.75864288451288	-0.17800918228777002	NaN	0.11281333398574711	0.21240246617296069	21.49156770879063	0.16052807532457752	NaN	-0.038265644356108595	1	49.98790022352779	22	47	101	196	447	2152	0.015890706305218737	1.0142230135299988	-5.337912152555788	1.0293685143953895	NaN	1	NaN	1	NaN	1	NaN	1	NaN	NaN	800009909	800009919	800009909	800009919	800009909	800119909	899999999	899999999	89999	89999	89	89	0	0	4	13	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	0	0	0	0	0	18000	18000	0	0	18000	18000	18000	18000	NaN	6	0.2598915256800289	0.16220874358033457	0.0027046630855579027	0.17209682056298392	NaN	NaN	NaN	NaN	-0.004193711830656741	NaN	NaN	NaN	NaN	253.22780273522275	14.7883066851298	-6675.72902613347	337.31569052231623	63.00584627336585	0.0007610182731910177	46656.91265744358	0.05424847420004921	-15.46	84.02473	205.11463333333333	217.43976666666666	-0.13799493	-13.848713333333333	NaN	0.024722216666666665	0.04967222	-5.561309666666666	-4.037859	254.05765333333335	266.871052	267.83750033333337	228.53479333333337	228.78216333333336	267.41357933333336	268.5198843333334	269.2126146666667	266.99195233333336	267.62975233333333	268.3945346666667	269.37305033333337	268.33500000000004	088
DATA	2016-03-20T013000_AIU-0383.ghg	2016-03-20	02:00:00	80.083	0	18000	18000	0.009359236894856232	1	NaN	-21.91630783174797	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.739755825264578e-14	NaN	NaN	NaN	NaN	NaN	NaN	0	8.591377347472076	0.19571457779204157	0.19575288948615893	NaN	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	252.33016910044353	253.03378000000004	92348.13786631945	1.271379125501186	1005.1062991303768	0.022780349398764166	NaN	0.00015481662245405225	18.078724938515165	123.8887143573151	0.0001217706184951106	14.592713333333332	105.80998941879993	232.80766201799918	0.11044991780486389	-1.361277124539025	0.022894309345685884	1.3659424378562912	9.923071214723577e-14	3.18895994723212e-15	1.3659424378562912	2.9503727073130745	85.36135460878609	274.6386453912139	0.960368964952524	NaN	0.08579909000837697	0.27678224894468784	2.370177740422469	1.4555870393859407	NaN	-0.19989302430993838	1	65.05916979609995	28	62	134	262	608	3037	0.008970574653866208	1.0433263481980517	-20.12125105986834	1.0892119861999963	NaN	1	NaN	1	NaN	1	NaN	1	NaN	NaN	800009909	800009919	800009909	800009919	800109909	810109909	899999999	899999999	89999	89999	89	89	0	0	3	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	0	0	0	0	0	18000	18000	0	0	18000	18000	18000	18000	NaN	6	0.2374277601139234	0.3106837804349108	0.005452957340541532	0.27557944796077805	NaN	NaN	NaN	NaN	-0.01574591521403435	NaN	NaN	NaN	NaN	252.39442608388265	14.794644544389513	-7364.16955133465	-103.38669456839567	61.26781706117181	0.000454467029886389	46605.47074207901	0.05397343132427584	-16.07	82.73158	205.0263	216.1715	-0.12691728666666666	-12.697906666666666	NaN	0.024647226666666668	0.04994444333333333	-5.160472	-3.6076680000000003	253.03378000000004	266.87585333333334	267.8436116666667	228.53582000000003	228.78919000000002	267.41558100000003	268.517896	269.21044	266.9943713333334	267.62965733333334	268.39177700000005	269.3706886666667	268.333055	244
DATA	2016-03-20T020000_AIU-0383.ghg	2016-03-20	02:30:00	80.104	0	18000	18000	0.04474791047935397	1	NaN	-21.57918987076836	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.0609087313952787e-14	NaN	NaN	NaN	NaN	NaN	NaN	0	8.587478402742095	0.1956279936992081	0.19566627149933613	NaN	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	252.84659543651995	253.02845333333335	92345.1386859809	1.2713646404486987	1005.10624367366	0.02278060968825744	NaN	0.0001547463634688142	18.070140032948277	123.83177944921174	0.0001217167432108227	14.59249	105.76163941626346	232.80312940415502	1.7469971689803339	-3.140578544441296	0.10772181684279897	3.5953910346517044	3.103416593598623e-14	5.893358322484123e-15	3.5953910346517044	5.664103176990235	60.91429870635653	299.08570129364347	1.7169006599940086	NaN	0.18760798373592244	0.8388072467668661	25.165698720782522	0.1370913654446199	NaN	-0.09001227139087165	1	59.12240775765893	26	56	118	228	516	2444	0.043882843918976455	1.019713092478116	-20.690755238308146	1.0429387241899857	NaN	1	NaN	1	NaN	1	NaN	1	NaN	NaN	800009909	800009919	800009909	800009919	800009909	800109909	899999999	899999999	89999	89999	89	89	3	1	3	2	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	0	0	0	0	0	18000	18000	0	0	18000	18000	18000	18000	NaN	6	1.1610329055329527	0.49778185338108544	0.018799734619694215	0.2707890353441929	NaN	NaN	NaN	NaN	-0.016191766932661982	NaN	NaN	NaN	NaN	252.66089221191416	14.791677286042106	-1200.9527545799929	-3763.354161681321	60.69922540677361	0.000339083135613096	46638.64242892795	0.054577902174140866	-16.66	83.47681333333334	202.58213333333333	221.6744	-0.11647278866666667	-19.92877	NaN	0.024908326666666668	0.04998055666666667	-5.007463666666666	-4.170949666666667	253.02845333333335	266.879411	267.84361233333334	228.5403666666667	228.7776366666667	267.41726600000004	268.51611933333334	269.20861733333334	266.996568	267.629343	268.3890983333334	269.36794733333335	268.33527833333335	050
DATA	2016-03-20T023000_AIU-0383.ghg	2016-03-20	03:00:00	80.124	0	18000	18000	0.04364915707136393	1	NaN	-21.481857252281173	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.24386328050826e-14	NaN	NaN	NaN	NaN	NaN	NaN	0	9.66226151153941	0.22134038055535285	0.22138938296562938	NaN	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	254.11916192118326	254.47075000000004	92356.1935609809	1.2642978056206244	1005.1230817526116	0.022907719925714207	NaN	0.00017411395542118332	20.447638421119986	140.13419087398313	0.0001377159357922902	14.59147	119.68655245286314	233.98963701956833	0.6579748556117775	-4.419155747122262	0.10363582898249618	4.469072477929829	4.086258226026834e-14	1.287341766751752e-15	4.469072477929829	7.292351327736711	81.5313576374312	278.4686423625688	1.3287830874894602	NaN	0.18580749936964225	0.45548950842739633	24.561124255705163	0.14046588275366179	NaN	-0.09097874828213386	1	78.81050436787385	34	75	159	308	704	3387	0.042638714397257006	1.0236977753290781	-20.419413376011825	1.0520310675289761	NaN	1	NaN	1	NaN	1	NaN	1	NaN	NaN	800009909	800009919	800009909	800009919	800009909	800009909	899999999	899999999	89999	89999	89	89	10	0	1	2	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	0	0	0	0	0	18000	18000	0	0	18000	18000	18000	18000	NaN	6	0.6059592069532674	0.2512938869344782	0.053725922967046987	0.05653157194587492	NaN	NaN	NaN	NaN	-0.0160684738653099	NaN	NaN	NaN	NaN	253.85517878807917	14.788708359665339	-8156.6104259272615	245.6101316564223	58.18469569484872	0.00011304782002116591	46640.051606336805	0.054663104105430384	-16.54	84.62324666666666	205.17013333333333	228.9981	-0.12122033333333333	-25.395563333333335	NaN	0.024722216666666668	0.049808333333333336	-4.983328	-3.415756	254.47075000000004	266.8856666666667	267.846945	228.53685000000002	228.77662333333336	267.41966766666667	268.51470466666666	269.2064486666667	266.99778333333336	267.6284586666667	268.38642000000004	269.3654516666667	268.32638966666667	208
DATA	2016-03-20T030000_AIU-0383.ghg	2016-03-20	03:30:00	80.145	0	18000	18000	0.006343280591080012	2	NaN	-9.872236472753352	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.3629086740727e-14	NaN	NaN	NaN	NaN	NaN	NaN	0	9.915070968240585	0.2273846851320566	0.22743640068641424	NaN	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	254.33725045988294	254.7874266666667	92368.23160069445	1.2628881047608205	1005.1271570807644	0.022933238285474992	NaN	0.00017866958190899392	21.008755123670127	143.9613845666681	0.00014147696952362403	14.593326666666666	122.95262944299797	234.2513777016796	-0.13559734861098638	-2.611876210372202	0.03310586469696108	2.6156031766183347	-1.921376672270942e-14	-1.3745828733231409e-15	2.6156031766183347	4.891049522177537	92.9718817124961	267.0281182875039	0.7252158854077521	NaN	0.07087197328600671	0.7036438957804895	2.9660574696380038	1.163160200136331	NaN	-0.10973752092805403	1	244.74109546725361	108	246	558	1164	2956	NaN	0.006024289365917283	1.0529508471102729	-8.896619710978534	1.1096615111659651	NaN	1	NaN	1	NaN	1	NaN	1	NaN	NaN	800009909	800009919	800009909	800009919	800009909	800009909	899999999	899999999	89999	89999	89	89	4	8	2	11	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	0	0	0	0	0	18000	18000	0	0	18000	18000	18000	18000	NaN	6	1.0761053317752913	0.3094458898311177	0.021736569954569986	0.07271556876516759	NaN	NaN	NaN	NaN	-0.007008727051831974	NaN	NaN	NaN	NaN	254.0682892964681	14.785613419850666	-7657.813575847402	-6431.487266206859	60.919927471943936	0.0003362586322861373	46650.88855750868	0.054593417005406486	-15.930000000000001	84.55381666666666	206.42313333333334	226.62266666666667	-0.12565135000000002	-22.033723333333334	NaN	0.024855553333333332	0.049680546666666665	-5.234606666666666	-3.4003	254.7874266666667	266.8929306666667	267.84833433333336	228.54190000000003	228.77110000000002	267.42257300000006	268.51289866666673	269.2041546666667	266.9993446666667	267.627759	268.3837286666667	269.3628286666667	268.3269446666667	216
DATA	2016-03-20T033000_AIU-0383.ghg	2016-03-20	04:00:00	80.166	0	18000	18000	0.007124600316749755	2	NaN	-14.066476199261066	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-5.68082825270082e-15	NaN	NaN	NaN	NaN	NaN	NaN	0	9.82768325618999	0.2252418029572423	0.22529254825700454	NaN	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	253.92991297064899	254.67780000000002	92385.38342708333	1.2636673481973486	1005.125712746968	0.022919115022899544	NaN	0.00017709485531086107	20.814632137481503	142.62601974996895	0.00014014357145770293	14.593853333333334	121.81138761248744	234.16154928928918	-1.3140542069407204	-0.5940919440140177	0.018976200642087215	1.4422356925660604	2.97744366437413e-14	-5.780434823357516e-16	1.4422356925660604	3.96341728204319	155.67198323474338	204.32801676525662	0.7538903571122617	NaN	0.07508684749704984	1.2247911935304017	2.475911606771117	1.393426158900402	NaN	-0.14749194328589385	1	91.09228060528626	40	88	192	382	905	4738	0.006830951395204782	1.0429879975066298	-12.921592256268472	1.088602388953822	NaN	1	NaN	1	NaN	1	NaN	1	NaN	NaN	800009909	800009919	800009909	800009919	800009909	800109909	899999999	899999999	89999	89999	89	89	2	1	5	12	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	0	0	0	0	0	18000	18000	0	0	18000	18000	18000	18000	NaN	6	0.44842715705410635	1.9785737040112685	0.022581525995428474	0.6425030919202344	NaN	NaN	NaN	NaN	-0.010173324222808791	NaN	NaN	NaN	NaN	253.781567074246	14.793003457864126	-2408.1956595762617	236.8819212387232	63.400573837034564	0.0006685267218595446	46656.2978344184	0.05434274980063651	-15.633333333333333	84.03454666666667	206.59606666666667	223.29523333333333	-0.13324735000000001	-18.847413333333336	NaN	0.02471667	0.04986944	-6.1776523333333335	-4.029270666666667	254.67780000000002	266.8984696666667	267.85027766666667	228.5464566666667	228.78467000000003	267.42505800000004	268.5111473333334	269.2021856666667	267.0024143333334	267.6277726666667	268.3814126666667	269.3601786666667	268.32805533333334	172
